,,,,,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name
,,,,,AirBeam3-40915110766c,AirBeam3-40915110766c,AirBeam3-40915110766c,AirBeam3-40915110766c,AirBeam3-40915110766c
,,,,,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name
,,,,,AirBeam3-PM1,AirBeam3-F,AirBeam3-PM2.5,AirBeam3-PM10,AirBeam3-RH
,,,,,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type
,,,,,Particulate Matter,Temperature,Particulate Matter,Particulate Matter,Humidity
,,,,,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units
,,,,,µg/m³,F,µg/m³,µg/m³,%
ObjectID,Session_Name,Timestamp,Latitude,Longitude,1:Measurement_Value,2:Measurement_Value,3:Measurement_Value,4:Measurement_Value,5:Measurement_Value
1,1,2025-09-05T20:59:56.000,4.690638744,-74.082451388,0.0,68.0,0.0,0.0,54.0
2,1,2025-09-05T21:00:56.000,4.690638744,-74.082451388,0.0,68.0,0.0,0.0,55.0
3,1,2025-09-05T21:01:56.000,4.690638744,-74.082451388,0.0,68.0,0.0,0.0,55.0
4,1,2025-09-05T21:02:56.000,4.690638744,-74.082451388,0.0,67.0,0.0,0.0,55.0
5,1,2025-09-05T21:03:56.000,4.690638744,-74.082451388,0.0,67.0,0.0,0.0,55.0
6,1,2025-09-05T21:04:56.000,4.690638744,-74.082451388,2.0,67.0,2.0,2.0,55.0
7,1,2025-09-05T21:05:56.000,4.690638744,-74.082451388,0.0,67.0,0.0,0.0,55.0
8,1,2025-09-05T21:06:56.000,4.690638744,-74.082451388,0.0,67.0,0.0,0.0,55.0
9,1,2025-09-05T21:07:56.000,4.690638744,-74.082451388,0.0,67.0,0.0,0.0,55.0
10,1,2025-09-05T21:08:56.000,4.690638744,-74.082451388,0.0,67.0,0.0,0.0,56.0
11,1,2025-09-05T21:09:56.000,4.690638744,-74.082451388,0.0,67.0,0.0,0.0,56.0
12,1,2025-09-05T21:10:56.000,4.690638744,-74.082451388,1.0,67.0,1.0,1.0,56.0
13,1,2025-09-05T21:11:56.000,4.690638744,-74.082451388,1.0,67.0,1.0,1.0,56.0
14,1,2025-09-05T21:12:56.000,4.690638744,-74.082451388,0.0,67.0,0.0,0.0,56.0
15,1,2025-09-05T21:13:56.000,4.690638744,-74.082451388,0.0,67.0,0.0,0.0,55.0
16,1,2025-09-05T21:14:56.000,4.690638744,-74.082451388,0.0,67.0,0.0,0.0,55.0
17,1,2025-09-05T21:15:56.000,4.690638744,-74.082451388,0.0,67.0,0.0,0.0,55.0
18,1,2025-09-05T21:16:56.000,4.690638744,-74.082451388,0.0,67.0,0.0,0.0,55.0
19,1,2025-09-05T21:17:56.000,4.690638744,-74.082451388,0.0,67.0,0.0,0.0,55.0
20,1,2025-09-05T21:18:56.000,4.690638744,-74.082451388,0.0,67.0,0.0,0.0,55.0
21,1,2025-09-05T21:19:56.000,4.690638744,-74.082451388,0.0,67.0,0.0,0.0,55.0
22,1,2025-09-05T21:20:56.000,4.690638744,-74.082451388,0.0,67.0,0.0,0.0,55.0
23,1,2025-09-05T21:21:56.000,4.690638744,-74.082451388,0.0,67.0,0.0,0.0,55.0
24,1,2025-09-05T21:22:56.000,4.690638744,-74.082451388,0.0,67.0,0.0,0.0,56.0
25,1,2025-09-05T21:23:56.000,4.690638744,-74.082451388,0.0,67.0,0.0,0.0,56.0
26,1,2025-09-05T21:24:56.000,4.690638744,-74.082451388,0.0,67.0,0.0,0.0,56.0
27,1,2025-09-05T21:25:56.000,4.690638744,-74.082451388,0.0,66.0,0.0,0.0,57.0
28,1,2025-09-05T21:26:56.000,4.690638744,-74.082451388,0.0,66.0,0.0,0.0,58.0
29,1,2025-09-05T21:27:56.000,4.690638744,-74.082451388,0.0,66.0,0.0,0.0,57.0
30,1,2025-09-05T21:28:56.000,4.690638744,-74.082451388,0.0,66.0,0.0,0.0,57.0
31,1,2025-09-05T21:29:56.000,4.690638744,-74.082451388,0.0,66.0,0.0,0.0,57.0
32,1,2025-09-05T21:30:56.000,4.690638744,-74.082451388,0.0,65.0,0.0,0.0,58.0
33,1,2025-09-05T21:31:56.000,4.690638744,-74.082451388,0.0,65.0,0.0,0.0,58.0
34,1,2025-09-05T21:32:56.000,4.690638744,-74.082451388,0.0,65.0,0.0,0.0,59.0
35,1,2025-09-05T21:33:56.000,4.690638744,-74.082451388,0.0,65.0,0.0,0.0,59.0
36,1,2025-09-05T21:34:56.000,4.690638744,-74.082451388,0.0,65.0,0.0,0.0,59.0
37,1,2025-09-05T21:35:56.000,4.690638744,-74.082451388,0.0,65.0,0.0,0.0,60.0
38,1,2025-09-05T21:36:56.000,4.690638744,-74.082451388,0.0,65.0,0.0,0.0,60.0
39,1,2025-09-05T21:37:56.000,4.690638744,-74.082451388,0.0,65.0,0.0,0.0,60.0
40,1,2025-09-05T21:38:56.000,4.690638744,-74.082451388,0.0,65.0,0.0,0.0,60.0
41,1,2025-09-05T21:39:56.000,4.690638744,-74.082451388,1.0,65.0,1.0,1.0,60.0
42,1,2025-09-05T21:40:56.000,4.690638744,-74.082451388,0.0,65.0,0.0,0.0,60.0
43,1,2025-09-05T21:41:56.000,4.690638744,-74.082451388,0.0,65.0,0.0,0.0,60.0
44,1,2025-09-05T21:42:56.000,4.690638744,-74.082451388,0.0,65.0,0.0,0.0,59.0
45,1,2025-09-05T21:43:56.000,4.690638744,-74.082451388,0.0,65.0,0.0,0.0,59.0
46,1,2025-09-05T21:44:56.000,4.690638744,-74.082451388,0.0,65.0,0.0,0.0,59.0
47,1,2025-09-05T21:45:56.000,4.690638744,-74.082451388,0.0,65.0,0.0,0.0,59.0
48,1,2025-09-05T21:46:56.000,4.690638744,-74.082451388,0.0,65.0,0.0,0.0,58.0
49,1,2025-09-05T21:47:56.000,4.690638744,-74.082451388,0.0,65.0,0.0,0.0,58.0
50,1,2025-09-05T21:48:56.000,4.690638744,-74.082451388,0.0,65.0,0.0,0.0,59.0
51,1,2025-09-05T21:49:56.000,4.690638744,-74.082451388,0.0,65.0,0.0,0.0,59.0
52,1,2025-09-05T21:50:56.000,4.690638744,-74.082451388,0.0,65.0,0.0,0.0,58.0
53,1,2025-09-05T21:51:56.000,4.690638744,-74.082451388,0.0,65.0,0.0,0.0,58.0
54,1,2025-09-05T21:52:56.000,4.690638744,-74.082451388,0.0,65.0,0.0,0.0,58.0
55,1,2025-09-05T21:53:56.000,4.690638744,-74.082451388,0.0,65.0,0.0,0.0,58.0
56,1,2025-09-05T21:54:56.000,4.690638744,-74.082451388,0.0,65.0,0.0,0.0,58.0
57,1,2025-09-05T21:55:56.000,4.690638744,-74.082451388,0.0,65.0,0.0,0.0,58.0
58,1,2025-09-05T21:56:56.000,4.690638744,-74.082451388,0.0,65.0,0.0,0.0,58.0
59,1,2025-09-05T21:57:56.000,4.690638744,-74.082451388,0.0,65.0,0.0,0.0,58.0
60,1,2025-09-05T21:58:56.000,4.690638744,-74.082451388,0.0,65.0,0.0,0.0,58.0
61,1,2025-09-05T21:59:56.000,4.690638744,-74.082451388,0.0,66.0,0.0,0.0,58.0
62,1,2025-09-05T22:00:56.000,4.690638744,-74.082451388,0.0,66.0,0.0,0.0,57.0
63,1,2025-09-05T22:01:56.000,4.690638744,-74.082451388,0.0,66.0,0.0,0.0,57.0
64,1,2025-09-05T22:02:56.000,4.690638744,-74.082451388,0.0,66.0,0.0,0.0,57.0
65,1,2025-09-05T22:03:56.000,4.690638744,-74.082451388,0.0,66.0,0.0,0.0,57.0
66,1,2025-09-05T22:04:57.000,4.690638744,-74.082451388,0.0,66.0,0.0,0.0,57.0
67,1,2025-09-05T22:05:57.000,4.690638744,-74.082451388,0.0,66.0,0.0,0.0,57.0
68,1,2025-09-05T22:06:57.000,4.690638744,-74.082451388,0.0,66.0,0.0,0.0,57.0
69,1,2025-09-05T22:07:57.000,4.690638744,-74.082451388,0.0,66.0,0.0,0.0,57.0
70,1,2025-09-05T22:08:57.000,4.690638744,-74.082451388,0.0,66.0,0.0,0.0,56.0
71,1,2025-09-05T22:09:57.000,4.690638744,-74.082451388,0.0,66.0,0.0,0.0,56.0
72,1,2025-09-05T22:10:57.000,4.690638744,-74.082451388,0.0,66.0,0.0,0.0,56.0
73,1,2025-09-05T22:11:57.000,4.690638744,-74.082451388,0.0,66.0,0.0,0.0,56.0
74,1,2025-09-05T22:12:57.000,4.690638744,-74.082451388,0.0,66.0,0.0,0.0,56.0
75,1,2025-09-05T22:13:57.000,4.690638744,-74.082451388,0.0,66.0,0.0,0.0,56.0
76,1,2025-09-05T22:14:57.000,4.690638744,-74.082451388,0.0,66.0,0.0,0.0,55.0
77,1,2025-09-05T22:15:57.000,4.690638744,-74.082451388,0.0,66.0,0.0,0.0,55.0
78,1,2025-09-05T22:16:57.000,4.690638744,-74.082451388,0.0,66.0,0.0,0.0,55.0
79,1,2025-09-05T22:17:57.000,4.690638744,-74.082451388,0.0,66.0,0.0,0.0,55.0
80,1,2025-09-05T22:18:57.000,4.690638744,-74.082451388,0.0,66.0,0.0,0.0,55.0
81,1,2025-09-05T22:19:57.000,4.690638744,-74.082451388,0.0,66.0,0.0,0.0,55.0
82,1,2025-09-05T22:20:57.000,4.690638744,-74.082451388,0.0,66.0,0.0,0.0,55.0
83,1,2025-09-05T22:21:57.000,4.690638744,-74.082451388,0.0,66.0,0.0,0.0,55.0
84,1,2025-09-05T22:22:57.000,4.690638744,-74.082451388,0.0,66.0,0.0,0.0,55.0
85,1,2025-09-05T22:23:57.000,4.690638744,-74.082451388,0.0,66.0,0.0,0.0,55.0
86,1,2025-09-05T22:24:57.000,4.690638744,-74.082451388,0.0,67.0,0.0,0.0,55.0
87,1,2025-09-05T22:25:57.000,4.690638744,-74.082451388,0.0,67.0,0.0,0.0,55.0
88,1,2025-09-05T22:26:57.000,4.690638744,-74.082451388,0.0,67.0,0.0,0.0,55.0
89,1,2025-09-05T22:27:57.000,4.690638744,-74.082451388,0.0,67.0,0.0,0.0,55.0
90,1,2025-09-05T22:28:57.000,4.690638744,-74.082451388,1.0,67.0,1.0,1.0,55.0
91,1,2025-09-05T22:29:57.000,4.690638744,-74.082451388,0.0,66.0,0.0,0.0,55.0
92,1,2025-09-05T22:30:57.000,4.690638744,-74.082451388,0.0,66.0,0.0,1.0,55.0
93,1,2025-09-05T22:31:57.000,4.690638744,-74.082451388,0.0,66.0,0.0,0.0,55.0
94,1,2025-09-05T22:32:57.000,4.690638744,-74.082451388,0.0,66.0,0.0,0.0,55.0
95,1,2025-09-05T22:33:57.000,4.690638744,-74.082451388,0.0,66.0,0.0,0.0,55.0
96,1,2025-09-05T22:34:57.000,4.690638744,-74.082451388,0.0,66.0,0.0,0.0,55.0
97,1,2025-09-05T22:35:57.000,4.690638744,-74.082451388,0.0,66.0,0.0,0.0,55.0
98,1,2025-09-05T22:36:57.000,4.690638744,-74.082451388,0.0,66.0,0.0,0.0,55.0
99,1,2025-09-05T22:37:57.000,4.690638744,-74.082451388,0.0,66.0,0.0,0.0,55.0
100,1,2025-09-05T22:38:57.000,4.690638744,-74.082451388,0.0,66.0,0.0,0.0,55.0
101,1,2025-09-05T22:39:57.000,4.690638744,-74.082451388,0.0,66.0,0.0,0.0,56.0
102,1,2025-09-05T22:40:57.000,4.690638744,-74.082451388,0.0,66.0,0.0,0.0,56.0
103,1,2025-09-05T22:41:57.000,4.690638744,-74.082451388,0.0,66.0,0.0,0.0,56.0
104,1,2025-09-05T22:42:57.000,4.690638744,-74.082451388,1.0,66.0,1.0,1.0,56.0
105,1,2025-09-05T22:43:57.000,4.690638744,-74.082451388,1.0,66.0,1.0,1.0,56.0
106,1,2025-09-05T22:44:57.000,4.690638744,-74.082451388,0.0,66.0,0.0,0.0,56.0
107,1,2025-09-05T22:45:57.000,4.690638744,-74.082451388,0.0,66.0,0.0,0.0,56.0
108,1,2025-09-05T22:46:57.000,4.690638744,-74.082451388,0.0,66.0,0.0,0.0,56.0
109,1,2025-09-05T22:47:57.000,4.690638744,-74.082451388,0.0,66.0,0.0,0.0,56.0
110,1,2025-09-05T22:48:57.000,4.690638744,-74.082451388,0.0,66.0,0.0,0.0,56.0
111,1,2025-09-05T22:49:57.000,4.690638744,-74.082451388,0.0,66.0,0.0,0.0,56.0
112,1,2025-09-05T22:50:57.000,4.690638744,-74.082451388,0.0,66.0,0.0,0.0,56.0
113,1,2025-09-05T22:51:57.000,4.690638744,-74.082451388,0.0,66.0,0.0,0.0,56.0
114,1,2025-09-05T22:52:57.000,4.690638744,-74.082451388,0.0,66.0,0.0,0.0,56.0
115,1,2025-09-05T22:53:57.000,4.690638744,-74.082451388,0.0,66.0,0.0,0.0,57.0
116,1,2025-09-05T22:54:57.000,4.690638744,-74.082451388,0.0,66.0,0.0,0.0,57.0
117,1,2025-09-05T22:55:57.000,4.690638744,-74.082451388,0.0,66.0,0.0,0.0,57.0
118,1,2025-09-05T22:56:57.000,4.690638744,-74.082451388,0.0,66.0,0.0,0.0,57.0
119,1,2025-09-05T22:57:57.000,4.690638744,-74.082451388,0.0,66.0,0.0,0.0,57.0
120,1,2025-09-05T22:58:57.000,4.690638744,-74.082451388,0.0,66.0,0.0,0.0,57.0
121,1,2025-09-05T22:59:57.000,4.690638744,-74.082451388,0.0,66.0,0.0,0.0,57.0
122,1,2025-09-05T23:00:57.000,4.690638744,-74.082451388,0.0,66.0,0.0,0.0,57.0
123,1,2025-09-05T23:01:57.000,4.690638744,-74.082451388,0.0,66.0,0.0,0.0,57.0
124,1,2025-09-05T23:02:57.000,4.690638744,-74.082451388,0.0,66.0,0.0,0.0,57.0
125,1,2025-09-05T23:03:57.000,4.690638744,-74.082451388,0.0,66.0,0.0,0.0,57.0
126,1,2025-09-05T23:04:57.000,4.690638744,-74.082451388,0.0,66.0,0.0,0.0,57.0
127,1,2025-09-05T23:05:57.000,4.690638744,-74.082451388,0.0,66.0,0.0,0.0,57.0
128,1,2025-09-05T23:06:57.000,4.690638744,-74.082451388,0.0,66.0,0.0,0.0,57.0
129,1,2025-09-05T23:07:57.000,4.690638744,-74.082451388,0.0,66.0,0.0,0.0,57.0
130,1,2025-09-05T23:08:57.000,4.690638744,-74.082451388,1.0,66.0,1.0,1.0,57.0
131,1,2025-09-05T23:09:57.000,4.690638744,-74.082451388,0.0,66.0,0.0,0.0,57.0
132,1,2025-09-05T23:10:57.000,4.690638744,-74.082451388,0.0,66.0,1.0,1.0,57.0
133,1,2025-09-05T23:11:57.000,4.690638744,-74.082451388,0.0,66.0,0.0,0.0,57.0
134,1,2025-09-05T23:12:57.000,4.690638744,-74.082451388,0.0,66.0,0.0,0.0,57.0
135,1,2025-09-05T23:13:57.000,4.690638744,-74.082451388,0.0,66.0,0.0,0.0,57.0
136,1,2025-09-05T23:14:57.000,4.690638744,-74.082451388,0.0,66.0,0.0,0.0,57.0
137,1,2025-09-05T23:15:57.000,4.690638744,-74.082451388,0.0,66.0,0.0,0.0,57.0
138,1,2025-09-05T23:16:57.000,4.690638744,-74.082451388,0.0,66.0,0.0,0.0,57.0
139,1,2025-09-05T23:17:57.000,4.690638744,-74.082451388,0.0,66.0,0.0,0.0,57.0
140,1,2025-09-05T23:18:57.000,4.690638744,-74.082451388,0.0,65.0,0.0,0.0,57.0
141,1,2025-09-05T23:19:57.000,4.690638744,-74.082451388,0.0,65.0,0.0,0.0,57.0
142,1,2025-09-05T23:20:57.000,4.690638744,-74.082451388,0.0,65.0,0.0,0.0,57.0
143,1,2025-09-05T23:21:57.000,4.690638744,-74.082451388,0.0,65.0,0.0,0.0,57.0
144,1,2025-09-05T23:22:57.000,4.690638744,-74.082451388,0.0,65.0,0.0,0.0,57.0
145,1,2025-09-05T23:23:57.000,4.690638744,-74.082451388,0.0,65.0,0.0,0.0,58.0
146,1,2025-09-05T23:24:57.000,4.690638744,-74.082451388,0.0,65.0,0.0,0.0,58.0
147,1,2025-09-05T23:25:57.000,4.690638744,-74.082451388,0.0,65.0,0.0,0.0,58.0
148,1,2025-09-05T23:26:57.000,4.690638744,-74.082451388,0.0,65.0,0.0,0.0,58.0
149,1,2025-09-05T23:27:57.000,4.690638744,-74.082451388,0.0,65.0,0.0,0.0,58.0
150,1,2025-09-05T23:28:57.000,4.690638744,-74.082451388,0.0,65.0,0.0,0.0,57.0
151,1,2025-09-05T23:29:57.000,4.690638744,-74.082451388,0.0,65.0,0.0,0.0,57.0
152,1,2025-09-05T23:30:57.000,4.690638744,-74.082451388,0.0,65.0,0.0,0.0,58.0
153,1,2025-09-05T23:31:57.000,4.690638744,-74.082451388,0.0,65.0,0.0,0.0,58.0
154,1,2025-09-05T23:32:57.000,4.690638744,-74.082451388,0.0,65.0,0.0,0.0,58.0
155,1,2025-09-05T23:33:57.000,4.690638744,-74.082451388,0.0,65.0,0.0,0.0,58.0
156,1,2025-09-05T23:34:57.000,4.690638744,-74.082451388,0.0,65.0,0.0,0.0,58.0
157,1,2025-09-05T23:35:57.000,4.690638744,-74.082451388,0.0,65.0,0.0,0.0,58.0
158,1,2025-09-05T23:36:57.000,4.690638744,-74.082451388,0.0,65.0,0.0,0.0,58.0
159,1,2025-09-05T23:37:57.000,4.690638744,-74.082451388,0.0,65.0,0.0,0.0,58.0
160,1,2025-09-05T23:38:57.000,4.690638744,-74.082451388,0.0,65.0,0.0,0.0,58.0
161,1,2025-09-05T23:39:57.000,4.690638744,-74.082451388,0.0,65.0,0.0,0.0,58.0
162,1,2025-09-05T23:40:57.000,4.690638744,-74.082451388,0.0,65.0,0.0,0.0,58.0
